epoch,train_loss,val_loss
0,0.00024196461629344412,8.73493454491836e-06
1,4.545904947228508e-06,3.5348717801753083e-07
2,1.8628077720350688e-07,1.1805376836093728e-07
3,1.2595098528578318e-07,8.039094687717351e-08
4,9.206486879520526e-08,6.997592159052601e-08
5,8.322530877791224e-08,6.347927374861229e-08
6,1.0268875216823403e-07,7.150172383063591e-08
7,7.249388223051767e-08,6.100426617194898e-08
8,6.420890299452254e-08,5.257335757846704e-08
9,5.812954784190083e-08,6.254118716242374e-08
10,5.4825287376658596e-08,6.176853055706033e-08
11,4.769454491349023e-08,4.1714956466876175e-08
12,3.524592735448806e-08,2.7033157490308213e-08
13,3.437604556566498e-08,2.7873981345294396e-08
14,3.7132592756172757e-08,2.5735595787779174e-08
15,3.324442051644283e-08,2.2103072838675074e-08
16,2.9403542767258983e-08,1.6596628871212714e-08
17,2.4061718917334217e-08,1.96994492718261e-08
18,2.0090634167413412e-08,1.4377308410473687e-08
19,1.948276726615461e-08,1.1511435626943012e-08
