epoch,train_loss,val_loss
0,0.00016456401823177201,2.8347712259346734e-06
1,8.872320158559432e-07,3.18594460679833e-07
2,4.0079248666557985e-07,1.4237166325870021e-07
3,1.7469195499053569e-07,4.666830522026544e-08
4,4.4935186593875186e-08,2.1177863196442103e-08
5,3.152293044372812e-08,5.959871529626071e-08
6,2.7547254029258728e-08,7.053682882229851e-09
7,7.035371113461864e-09,4.4117036801516464e-09
8,4.7695627752863954e-09,6.444662137283785e-09
9,4.901947708857435e-09,2.8362263870818082e-09
10,2.7279269843027974e-09,2.4690229416535205e-09
11,1.5960642051060514e-09,4.5928429059927115e-09
12,2.6694513280411946e-09,9.521264998646472e-10
13,1.2380075394002876e-08,1.3042531554763316e-09
14,1.7445477350913618e-09,7.601021603798052e-10
15,1.5833187091279789e-09,7.300454338277085e-10
16,3.1114090706663154e-09,1.1863194038230773e-09
17,5.381013602409612e-09,6.436797672648709e-09
18,4.208208707473515e-08,4.1960269214769144e-08
19,2.3210045976274075e-07,1.6689838560068894e-07
